Dataset Name,Observation Date,Series Display Name,Observation Value,Unit
Export Receipts by Commodities and Groups,30-Sep-25,......1 Rice,120311.5969,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............A) Basmati,46823.0337,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............B) Others,73488.5632,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......2 Fish & Fish Preparations,36344.0679,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......3 Fruits,21268.8388,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......4 Vegetablees/Leguminous Vegetable,11988.309,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......5 Tobacco,34307.5918,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......6 Wheat,0,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......7 Spices,7070.7125,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,"......8 Oil Seeds, Nuts and Kernels",14276.9175,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......9 Sugar,0,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......10 Meat and Meat Preparations,38855.1681,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......11 All Other Food Items,85530.18,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,B. Textile Group,1595264.679,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......12 Raw Cotton,588.674,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......13 Cotton Yarn,56710.63,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......14 Cotton Cloth,149313.6441,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......15 Cotton Carded or Combed,0,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......16 Yarn Other than Cotton Yarn,3045.9342,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......17 Knitwear,452335.0035,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......18 Bed Wear,292039.127,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......19 Towels,82377.1502,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,"......20 Tents,Canvas & Tarpaulin",14845.0183,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......21 Readymade Garments,357390.8632,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,"......22 Art,Silk & Synthetic Textile",36208.8805,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......23 Madeup Articles(incl.Other Tex,61620.9938,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......24 Other Textile Materials,88788.76,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,C. Petroleum Group,62096.343,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......25 Petroleum Crude,0,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......26 Petroleum Products,51601.212,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......27 Solid Fuel including Naphtha,10495.131,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,D. Other Manufacture,338391.7181,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,"......28 Carpets,Rugs & Mats",4282.8447,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......29 Sports Goods,38591.4366,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............A) Footballs,23756.0882,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............B) Gloves,6277.8785,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............C) Others,8557.4699,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......30 Leather Tanned,13767.4384,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......31 Leather Manufactures,59955.9858,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............A) Leather Garments,26878.1217,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............B) Leather Gloves,28248.2306,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............C) Other Leather Manufact,4829.6335,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......32 Footwear,14808.7679,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............A) Leather Footwear,12843.0581,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............B) Canvas Footwear,123.6456,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............C) Other Footwear,1842.0642,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......33 Surgical Goods & Medical Instr.,39712.0934,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......34 Cutlery,5502.7174,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......35 Onyx Manufactured,277.3702,Thousand USD
